,word,phones,phonetic_leaf
67,abuse,"['AH0', 'B', 'Y', 'UW1', 'S']",e
68,abused,"['AH0', 'B', 'Y', 'UW1', 'Z', 'D']",d
69,abuses,"['AH0', 'B', 'Y', 'UW1', 'S', 'IH0', 'Z']",e
70,abuses,"['AH0', 'B', 'Y', 'UW1', 'Z', 'IH0', 'Z']",e
71,abusive,"['AH0', 'B', 'Y', 'UW1', 'S', 'IH0', 'V']",d
72,abusively,"['AH0', 'B', 'Y', 'UW1', 'S', 'IH0', 'V', 'L', 'IY0']",a
73,academy,"['AH0', 'K', 'AE1', 'D', 'AH0', 'M', 'IY0']",a
74,accelerated,"['AE0', 'K', 'S', 'EH1', 'L', 'ER0', 'EY2', 'T', 'IH0', 'D']",d
75,accelerator,"['AE0', 'K', 'S', 'EH1', 'L', 'ER0', 'EY2', 'T', 'ER0']",a
76,accent,"['AE1', 'K', 'S', 'EH2', 'N', 'T']",d
77,accentuated,"['AE0', 'K', 'S', 'EH1', 'N', 'CH', 'AH0', 'W', 'EY2', 'T', 'IH0', 'D']",d
78,accept,"['AE0', 'K', 'S', 'EH1', 'P', 'T']",d
79,accept,"['AH0', 'K', 'S', 'EH1', 'P', 'T']",d
80,acceptance,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'N', 'S']",e
81,acceptances,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'N', 'S', 'IH0', 'Z']",e
82,accepted,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'IH0', 'D']",d
83,accepted,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'D']",d
84,accepting,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'IH0', 'NG']",a
85,accepting,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'IH0', 'NG']",a
86,accepts,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'S']",e
87,access,"['AE1', 'K', 'S', 'EH2', 'S']",e
88,accession,"['AH0', 'K', 'S', 'EH1', 'SH', 'AH0', 'N']",d
89,accessory,"['AE0', 'K', 'S', 'EH1', 'S', 'ER0', 'IY0']",a
90,accident,"['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T']",d
91,accidentally,"['AE2', 'K', 'S', 'AH0', 'D', 'EH1', 'N', 'T', 'AH0', 'L', 'IY0']",a
92,accidents,"['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T', 'S']",e
93,accommodate,"['AH0', 'K', 'AA1', 'M', 'AH0', 'D', 'EY2', 'T']",d
94,accommodated,"['AH0', 'K', 'AA1', 'M', 'AH0', 'D', 'EY2', 'T', 'AH0', 'D']",d
95,accommodating,"['AH0', 'K', 'AA1', 'M', 'AH0', 'D', 'EY2', 'T', 'IH0', 'NG']",a
96,accommodation,"['AH0', 'K', 'AA2', 'M', 'AH0', 'D', 'EY1', 'SH', 'AH0', 'N']",d
97,accommodations,"['AH0', 'K', 'AA2', 'M', 'AH0', 'D', 'EY1', 'SH', 'AH0', 'N', 'Z']",e
98,accompanied,"['AH0', 'K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0', 'D']",d
99,accompany,"['AH0', 'K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']",a
100,accompanying,"['AH0', 'K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0', 'IH0', 'NG']",a
101,accomplice,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'AH0', 'S']",e
102,accomplices,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'AH0', 'S', 'AH0', 'Z']",e
103,accomplish,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH']",d
104,accomplished,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH', 'T']",d
105,accomplishing,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH', 'IH0', 'NG']",a
106,accomplishment,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH', 'M', 'AH0', 'N', 'T']",d
107,accord,"['AH0', 'K', 'AO1', 'R', 'D']",d
108,accordance,"['AH0', 'K', 'AO1', 'R', 'D', 'AH0', 'N', 'S']",e
109,accorded,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'D']",d
110,according,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']",a
111,accordingly,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG', 'L', 'IY0']",a
112,accosted,"['AH0', 'K', 'AA1', 'S', 'T', 'AH0', 'D']",d
113,account,"['AH0', 'K', 'AW1', 'N', 'T']",d
114,accountable,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'B', 'AH0', 'L']",a
115,accountant,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'N', 'T']",d
116,accounted,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'D']",d
117,accounts,"['AH0', 'K', 'AW1', 'N', 'T', 'S']",e
118,accumulate,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'EY2', 'T']",d
119,accumulated,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'EY2', 'T', 'IH0', 'D']",d
120,accumulation,"['AH0', 'K', 'Y', 'UW2', 'M', 'Y', 'AH0', 'L', 'EY1', 'SH', 'AH0', 'N']",d
121,accuracy,"['AE1', 'K', 'Y', 'ER0', 'AH0', 'S', 'IY0']",a
122,accurate,"['AE1', 'K', 'Y', 'ER0', 'AH0', 'T']",d
123,accurately,"['AE1', 'K', 'Y', 'ER0', 'AH0', 'T', 'L', 'IY0']",a
124,accusation,"['AE2', 'K', 'Y', 'UW0', 'Z', 'EY1', 'SH', 'AH0', 'N']",d
125,accuse,"['AH0', 'K', 'Y', 'UW1', 'Z']",e
126,accused,"['AH0', 'K', 'Y', 'UW1', 'Z', 'D']",d
127,accustomed,"['AH0', 'K', 'AH1', 'S', 'T', 'AH0', 'M', 'D']",d
128,achieve,"['AH0', 'CH', 'IY1', 'V']",d
129,achieved,"['AH0', 'CH', 'IY1', 'V', 'D']",d
130,achievements,"['AH0', 'CH', 'IY1', 'V', 'M', 'AH0', 'N', 'T', 'S']",e
131,achieving,"['AH0', 'CH', 'IY1', 'V', 'IH0', 'NG']",a
132,acid,"['AE1', 'S', 'AH0', 'D']",d
133,acids,"['AE1', 'S', 'AH0', 'D', 'Z']",e
134,acknowledge,"['IH0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH']",d
135,acknowledged,"['IH0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH', 'D']",d
136,acquaintance,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'AH0', 'N', 'S']",e
137,acquaintances,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'AH0', 'N', 'S', 'IH0', 'Z']",e
138,acquaintanceship,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'AH0', 'N', 'S', 'SH', 'IH0', 'P']",d
139,acquainted,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'IH0', 'D']",d
140,acquire,"['AH0', 'K', 'W', 'AY1', 'ER0']",a
141,acquired,"['AH0', 'K', 'W', 'AY1', 'ER0', 'D']",d
142,acquiring,"['AH0', 'K', 'W', 'AY1', 'R', 'IH0', 'NG']",a
143,acquittal,"['AH0', 'K', 'W', 'IH1', 'T', 'AH0', 'L']",a
144,acquitted,"['AH0', 'K', 'W', 'IH1', 'T', 'IH0', 'D']",d
145,acres,"['EY1', 'K', 'ER0', 'Z']",e
146,acrimony,"['AE1', 'K', 'R', 'IH0', 'M', 'OW2', 'N', 'IY0']",a
147,across,"['AH0', 'K', 'R', 'AO1', 'S']",e
148,act,"['AE1', 'K', 'T']",i
149,acted,"['AE1', 'K', 'T', 'IH0', 'D']",d
150,acted,"['AE1', 'K', 'T', 'AH0', 'D']",d
151,acting,"['AE1', 'K', 'T', 'IH0', 'NG']",a
152,action,"['AE1', 'K', 'SH', 'AH0', 'N']",d
153,actions,"['AE1', 'K', 'SH', 'AH0', 'N', 'Z']",e
154,active,"['AE1', 'K', 'T', 'IH0', 'V']",d
155,actively,"['AE1', 'K', 'T', 'IH0', 'V', 'L', 'IY0']",a
156,activities,"['AE0', 'K', 'T', 'IH1', 'V', 'IH0', 'T', 'IY0', 'Z']",e
157,activities,"['AE0', 'K', 'T', 'IH1', 'V', 'AH0', 'T', 'IY0', 'Z']",e
158,activity,"['AE0', 'K', 'T', 'IH1', 'V', 'IH0', 'T', 'IY0']",a
159,activity,"['AE0', 'K', 'T', 'IH1', 'V', 'AH0', 'T', 'IY0']",a
160,actor,"['AE1', 'K', 'T', 'ER0']",a
161,actors,"['AE1', 'K', 'T', 'ER0', 'Z']",e
162,acts,"['AE1', 'K', 'T', 'S']",e
163,acts,"['AE1', 'K', 'S']",j
164,actual,"['AE1', 'K', 'SH', 'AH0', 'L']",a
165,actually,"['AE1', 'K', 'CH', 'UW2', 'AH0', 'L', 'IY0']",a
166,actually,"['AE1', 'K', 'SH', 'AH0', 'L', 'IY0']",a
167,actually,"['AE1', 'K', 'CH', 'L', 'IY0']",a
168,acutely,"['AH0', 'K', 'Y', 'UW1', 'T', 'L', 'IY0']",a
169,ad,"['AE1', 'D']",i
170,adage,"['AE1', 'D', 'IH0', 'JH']",d
171,adams,"['AE1', 'D', 'AH0', 'M', 'Z']",e
172,adapt,"['AH0', 'D', 'AE1', 'P', 'T']",d
173,adaptation,"['AE2', 'D', 'AH0', 'P', 'T', 'EY1', 'SH', 'AH0', 'N']",d
174,adaptations,"['AE2', 'D', 'AE0', 'P', 'T', 'EY1', 'SH', 'AH0', 'N', 'Z']",e
175,adapted,"['AH0', 'D', 'AE1', 'P', 'T', 'IH0', 'D']",d
176,adapting,"['AH0', 'D', 'AE1', 'P', 'T', 'IH0', 'NG']",a
177,adaptive,"['AH0', 'D', 'AE1', 'P', 'T', 'IH0', 'V']",d
178,adapts,"['AH0', 'D', 'AE1', 'P', 'T', 'S']",e
179,add,"['AE1', 'D']",i
180,added,"['AE1', 'D', 'IH0', 'D']",d
181,addicted,"['AH0', 'D', 'IH1', 'K', 'T', 'IH0', 'D']",d
182,addiction,"['AH0', 'D', 'IH1', 'K', 'SH', 'AH0', 'N']",d
183,adding,"['AE1', 'D', 'IH0', 'NG']",a
184,addison,"['AE1', 'D', 'AH0', 'S', 'AH0', 'N']",d
185,addition,"['AH0', 'D', 'IH1', 'SH', 'AH0', 'N']",d
186,additional,"['AH0', 'D', 'IH1', 'SH', 'AH0', 'N', 'AH0', 'L']",a
187,additional,"['AH0', 'D', 'IH1', 'SH', 'N', 'AH0', 'L']",a
188,additions,"['AH0', 'D', 'IH1', 'SH', 'AH0', 'N', 'Z']",e
189,address,"['AH0', 'D', 'R', 'EH1', 'S']",e
190,address,"['AE1', 'D', 'R', 'EH2', 'S']",e
191,addressed,"['AH0', 'D', 'R', 'EH1', 'S', 'T']",d
192,addresses,"['AH0', 'D', 'R', 'EH1', 'S', 'IH0', 'Z']",e
193,addressing,"['AH0', 'D', 'R', 'EH1', 'S', 'IH0', 'NG']",a
194,adds,"['AE1', 'D', 'Z']",j
195,adduced,"['AA0', 'D', 'UW1', 'S', 'T']",d
196,adelphi,"['AH0', 'D', 'EH1', 'L', 'F', 'IY0']",a
197,adept,"['AH0', 'D', 'EH1', 'P', 'T']",d
198,adepts,"['AH0', 'D', 'EH1', 'P', 'T', 'S']",e
199,adequacy,"['AE1', 'D', 'AH0', 'K', 'W', 'AH0', 'S', 'IY0']",a
200,adequate,"['AE1', 'D', 'AH0', 'K', 'W', 'AH0', 'T']",d
201,adequately,"['AE1', 'D', 'AH0', 'K', 'W', 'IH0', 'T', 'L', 'IY0']",a
202,adequately,"['AE1', 'D', 'AH0', 'K', 'W', 'AH0', 'T', 'L', 'IY0']",a
203,adhere,"['AH0', 'D', 'HH', 'IH1', 'R']",a
204,adhered,"['AE0', 'D', 'HH', 'IH1', 'R', 'D']",d
205,adherence,"['AH0', 'D', 'HH', 'IH1', 'R', 'AH0', 'N', 'S']",e
206,adheres,"['AH0', 'D', 'HH', 'IH1', 'R', 'Z']",e
207,adhering,"['AH0', 'D', 'HH', 'IH1', 'R', 'IH0', 'NG']",a
208,adhesive,"['AH0', 'D', 'HH', 'IY1', 'S', 'IH0', 'V']",d
209,adhesive,"['AE0', 'D', 'HH', 'IY1', 'S', 'IH0', 'V']",d
210,adjacent,"['AH0', 'JH', 'EY1', 'S', 'AH0', 'N', 'T']",d
211,adjoining,"['AH0', 'JH', 'OY1', 'N', 'IH0', 'NG']",a
212,adjournment,"['AH0', 'JH', 'ER1', 'N', 'M', 'AH0', 'N', 'T']",d
213,adjudged,"['AH0', 'JH', 'AH1', 'JH', 'D']",d
214,adjust,"['AH0', 'JH', 'AH1', 'S', 'T']",d
215,adjusted,"['AH0', 'JH', 'AH1', 'S', 'T', 'IH0', 'D']",d
216,adjusted,"['AH0', 'JH', 'AH1', 'S', 'T', 'AH0', 'D']",d
217,adjusting,"['AH0', 'JH', 'AH1', 'S', 'T', 'IH0', 'NG']",a
218,adjustment,"['AH0', 'JH', 'AH1', 'S', 'T', 'M', 'AH0', 'N', 'T']",d
219,adjustments,"['AH0', 'JH', 'AH1', 'S', 'T', 'M', 'AH0', 'N', 'T', 'S']",e
220,adlai,"['AA0', 'D', 'L', 'AA1', 'IY0']",a
221,administer,"['AH0', 'D', 'M', 'IH1', 'N', 'AH0', 'S', 'T', 'ER0']",a
222,administered,"['AH0', 'D', 'M', 'IH1', 'N', 'AH0', 'S', 'T', 'ER0', 'D']",d
223,administering,"['AE0', 'D', 'M', 'IH1', 'N', 'IH0', 'S', 'T', 'ER0', 'IH0', 'NG']",a
224,administration,"['AE0', 'D', 'M', 'IH2', 'N', 'IH0', 'S', 'T', 'R', 'EY1', 'SH', 'AH0', 'N']",d
225,administrative,"['AH0', 'D', 'M', 'IH1', 'N', 'AH0', 'S', 'T', 'R', 'EY2', 'T', 'IH0', 'V']",d
226,administratively,"['AE0', 'D', 'M', 'IH2', 'N', 'AH0', 'S', 'T', 'R', 'EY1', 'T', 'IH0', 'V', 'L', 'IY0']",a
227,administrators,"['AE0', 'D', 'M', 'IH1', 'N', 'IH0', 'S', 'T', 'R', 'EY2', 'T', 'ER0', 'Z']",e
228,admirable,"['AE1', 'D', 'M', 'ER0', 'AH0', 'B', 'AH0', 'L']",a
229,admirably,"['AE1', 'D', 'M', 'ER0', 'AH0', 'B', 'L', 'IY0']",a
230,admiralty,"['AE1', 'D', 'M', 'ER0', 'AH0', 'L', 'T', 'IY0']",a
231,admired,"['AH0', 'D', 'M', 'AY1', 'ER0', 'D']",d
232,admiring,"['AE0', 'D', 'M', 'AY1', 'R', 'IH0', 'NG']",a
233,admission,"['AE0', 'D', 'M', 'IH1', 'SH', 'AH0', 'N']",d
234,admission,"['AH0', 'D', 'M', 'IH1', 'SH', 'AH0', 'N']",d
235,admissions,"['AH0', 'D', 'M', 'IH1', 'SH', 'AH0', 'N', 'Z']",e
236,admit,"['AH0', 'D', 'M', 'IH1', 'T']",d
237,admits,"['AH0', 'D', 'M', 'IH1', 'T', 'S']",e
238,admittance,"['AH0', 'D', 'M', 'IH1', 'T', 'AH0', 'N', 'S']",e
239,admitted,"['AH0', 'D', 'M', 'IH1', 'T', 'AH0', 'D']",d
240,admittedly,"['AE0', 'D', 'M', 'IH1', 'T', 'IH0', 'D', 'L', 'IY0']",a
241,admitting,"['AH0', 'D', 'M', 'IH1', 'T', 'IH0', 'NG']",a
242,admonition,"['AE2', 'D', 'M', 'AH0', 'N', 'IH1', 'SH', 'AH0', 'N']",d
243,adolph,"['EY1', 'D', 'AO0', 'L', 'F']",d
244,adolphus,"['AH0', 'D', 'AO1', 'L', 'F', 'AH0', 'S']",e
245,adopt,"['AH0', 'D', 'AA1', 'P', 'T']",d
246,adopted,"['AH0', 'D', 'AA1', 'P', 'T', 'AH0', 'D']",d
247,adoption,"['AH0', 'D', 'AA1', 'P', 'SH', 'AH0', 'N']",d
248,adorned,"['AH0', 'D', 'AO1', 'R', 'N', 'D']",d
249,adult,"['AH0', 'D', 'AH1', 'L', 'T']",d
250,adults,"['AH0', 'D', 'AH1', 'L', 'T', 'S']",e
251,advance,"['AH0', 'D', 'V', 'AE1', 'N', 'S']",e
252,advanced,"['AH0', 'D', 'V', 'AE1', 'N', 'S', 'T']",d
253,advancement,"['AH0', 'D', 'V', 'AE1', 'N', 'S', 'M', 'AH0', 'N', 'T']",d
254,advances,"['AH0', 'D', 'V', 'AE1', 'N', 'S', 'IH0', 'Z']",e
255,advantage,"['AH0', 'D', 'V', 'AE1', 'N', 'T', 'IH0', 'JH']",d
256,advantage,"['AE0', 'D', 'V', 'AE1', 'N', 'T', 'IH0', 'JH']",d
257,advantages,"['AH0', 'D', 'V', 'AE1', 'N', 'T', 'IH0', 'JH', 'IH0', 'Z']",e
258,advent,"['AE1', 'D', 'V', 'EH2', 'N', 'T']",d
259,adventure,"['AH0', 'D', 'V', 'EH1', 'N', 'CH', 'ER0']",a
260,adventures,"['AH0', 'D', 'V', 'EH1', 'N', 'CH', 'ER0', 'Z']",e
261,adventurous,"['AH0', 'D', 'V', 'EH1', 'N', 'CH', 'ER0', 'AH0', 'S']",e
262,adverse,"['AE1', 'D', 'V', 'ER2', 'S']",e
263,adversely,"['AE0', 'D', 'V', 'ER1', 'S', 'L', 'IY0']",a
264,adversity,"['AE0', 'D', 'V', 'ER1', 'S', 'IH0', 'T', 'IY0']",a
265,adversity,"['AH0', 'D', 'V', 'ER1', 'S', 'IH0', 'T', 'IY0']",a
266,advert,"['AE1', 'D', 'V', 'ER0', 'T']",d
267,advertised,"['AE2', 'D', 'V', 'ER0', 'T', 'AY1', 'Z', 'D']",d
268,advertised,"['AE1', 'D', 'V', 'ER0', 'T', 'AY2', 'Z', 'D']",d
269,advertisement,"['AE2', 'D', 'V', 'ER0', 'T', 'AY1', 'Z', 'M', 'AH0', 'N', 'T']",d
270,advertising,"['AE1', 'D', 'V', 'ER0', 'T', 'AY2', 'Z', 'IH0', 'NG']",a
271,advice,"['AE0', 'D', 'V', 'AY1', 'S']",e
272,advice,"['AH0', 'D', 'V', 'AY1', 'S']",e
273,advisable,"['AH0', 'D', 'V', 'AY1', 'Z', 'AH0', 'B', 'AH0', 'L']",a
274,advise,"['AH0', 'D', 'V', 'AY1', 'Z']",e
275,advised,"['AH0', 'D', 'V', 'AY1', 'Z', 'D']",d
276,advised,"['AE0', 'D', 'V', 'AY1', 'Z', 'D']",d
277,adviser,"['AE0', 'D', 'V', 'AY1', 'Z', 'ER0']",a
278,advising,"['AE0', 'D', 'V', 'AY1', 'Z', 'IH0', 'NG']",a
279,advocacy,"['AE1', 'D', 'V', 'AH0', 'K', 'AH0', 'S', 'IY0']",a
280,advocate,"['AE1', 'D', 'V', 'AH0', 'K', 'AH0', 'T']",d
281,advocated,"['AE1', 'D', 'V', 'AH0', 'K', 'EY2', 'T', 'IH0', 'D']",d
282,advocated,"['AE1', 'D', 'V', 'AH0', 'K', 'EY2', 'T', 'AH0', 'D']",d
283,advocates,"['AE1', 'D', 'V', 'AH0', 'K', 'AH0', 'T', 'S']",e
284,aerial,"['EH1', 'R', 'IY0', 'AH0', 'L']",a
285,affable,"['AE1', 'F', 'AH0', 'B', 'AH0', 'L']",a
286,affair,"['AH0', 'F', 'EH1', 'R']",a
287,affairs,"['AH0', 'F', 'EH1', 'R', 'Z']",e
288,affect,"['AH0', 'F', 'EH1', 'K', 'T']",d
289,affected,"['AH0', 'F', 'EH1', 'K', 'T', 'IH0', 'D']",d
290,affecting,"['AH0', 'F', 'EH1', 'K', 'T', 'IH0', 'NG']",a
291,affection,"['AH0', 'F', 'EH1', 'K', 'SH', 'AH0', 'N']",d
292,affectionately,"['AH0', 'F', 'EH1', 'K', 'SH', 'AH0', 'N', 'AH0', 'T', 'L', 'IY0']",a
293,affections,"['AH0', 'F', 'EH1', 'K', 'SH', 'AH0', 'N', 'Z']",e
294,affidavit,"['AE2', 'F', 'AH0', 'D', 'EY1', 'V', 'AH0', 'T']",d
295,affidavits,"['AE2', 'F', 'IH0', 'D', 'EY1', 'V', 'IH0', 'T', 'S']",e
296,affinities,"['AH0', 'F', 'IH1', 'N', 'AH0', 'T', 'IY0', 'Z']",e
297,affirm,"['AH0', 'F', 'ER1', 'M']",d
298,affirmative,"['AH0', 'F', 'ER1', 'M', 'AH0', 'T', 'IH0', 'V']",d
299,affirmed,"['AH0', 'F', 'ER1', 'M', 'D']",d
300,affirms,"['AH0', 'F', 'ER1', 'M', 'Z']",e
301,affixed,"['AH0', 'F', 'IH1', 'K', 'S', 'T']",d
302,afflicted,"['AH0', 'F', 'L', 'IH1', 'K', 'T', 'AH0', 'D']",d
303,afford,"['AH0', 'F', 'AO1', 'R', 'D']",d
304,afforded,"['AH0', 'F', 'AO1', 'R', 'D', 'AH0', 'D']",d
305,affording,"['AH0', 'F', 'AO1', 'R', 'D', 'IH0', 'NG']",a
306,affords,"['AH0', 'F', 'AO1', 'R', 'D', 'Z']",e
307,affray,"['AE1', 'F', 'R', 'EY0']",a
308,aforesaid,"['AH0', 'F', 'AO1', 'R', 'S', 'EH2', 'D']",d
309,afraid,"['AH0', 'F', 'R', 'EY1', 'D']",d
310,after,"['AE1', 'F', 'T', 'ER0']",a
311,afternoon,"['AE2', 'F', 'T', 'ER0', 'N', 'UW1', 'N']",d
312,afternoons,"['AE2', 'F', 'T', 'ER0', 'N', 'UW1', 'N', 'Z']",e
313,afterward,"['AE1', 'F', 'T', 'ER0', 'W', 'ER0', 'D']",d
314,afterwards,"['AE1', 'F', 'T', 'ER0', 'W', 'ER0', 'D', 'Z']",e
315,again,"['AH0', 'G', 'EH1', 'N']",d
316,against,"['AH0', 'G', 'EY1', 'N', 'S', 'T']",d
317,against,"['AH0', 'G', 'EH1', 'N', 'S', 'T']",d
318,agar,"['EY1', 'G', 'ER0']",g
319,age,"['EY1', 'JH']",i
320,aged,"['EY1', 'JH', 'D']",i
321,agencies,"['EY1', 'JH', 'AH0', 'N', 'S', 'IY0', 'Z']",e
